gaming clip,student,batch,is gaming?,AvgTimrPerAction,Number of Context Changes,Number of Correct Actions,Minimum time between actions,Number of actions faster than average for clip,Number of duplicated inputs,Has 3 or more duplicated inputs,Number of help requests,Has 3 or more help requests,Number WrongActions,Number of consecutive help requests,Sum of frequency of wrong + frequency of consecutive help,Number of BUG,Number of actions slower than the global average action time (~13 seconds),Number of consecutive wrong in the same context,Help Request Rate,Count of short action (3 seconds or less),Number of Unique Input,Number of Blank Actions,Number of Hint_without_attempt,Avg_Time_Per_Incorrect_Actions
62344,b2W4ZO3uLV,6,G,26.8,5,1,0,4,4,1,0,0,1,0,0,3,1,0,0,4,1,5,0,5
62377,b2W4ZO3uLV,6,G,0.2,5,0,0,4,3,1,0,0,4,0,0,1,0,0,0,5,2,5,0,0.25
62443,b2W4ZO3uLV,6,G,17.2,5,4,4,4,0,0,0,0,1,0,0,0,2,0,0,0,5,3,0,3
62520,b2W4ZO3uLV,6,G,13.2,4,4,5,4,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,0
62685,b2W4ZO3uLV,6,N,4.6,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0
64129,g209g5Vve6,2,G,4.6,1,2,0,2,1,0,1,0,2,0,0,0,0,1,0.2,2,4,5,0,5.5
64183,g209g5Vve6,2,G,3.4,4,3,0,2,1,0,0,0,2,0,0,0,0,0,0,2,4,5,0,3
64316,g209g5Vve6,2,G,6,5,5,1,3,0,0,0,0,0,0,0,0,1,0,0,2,5,5,0,7.5
64364,g209g5Vve6,2,G,7.8,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6
64489,g209g5Vve6,2,N,7.6,5,4,1,4,0,0,0,0,0,0,0,1,1,0,0,3,5,5,0,18
64581,g209g5Vve6,2,G,6,2,2,2,3,0,0,0,0,2,0,0,1,1,1,0,3,5,5,0,3
64596,g209g5Vve6,2,G,3.8,3,2,0,2,1,0,1,0,2,0,0,0,0,1,0.2,2,4,5,0,4.33
64661,g209g5Vve6,2,N,5.6,5,5,3,4,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,10
64676,g209g5Vve6,2,N,6.8,2,2,1,3,0,0,0,0,2,0,0,1,1,1,0,1,5,5,0,0
64698,g209g5Vve6,2,G,4.2,1,2,0,2,1,0,1,0,2,0,0,0,0,1,0.2,2,4,5,0,5
66644,g209g5Vve6,2,G,9,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,1,5,2,0,0
66657,g209g5Vve6,2,G,8.8,4,3,2,2,0,0,1,0,1,0,0,0,1,1,0.2,1,5,5,1,0
66669,g209g5Vve6,2,G,10.8,3,0,3,3,3,1,2,0,2,1,1,1,1,1,0.4,1,2,5,1,10
66778,g209g5Vve6,2,N,7.6,4,4,2,4,0,0,1,0,0,0,0,0,1,0,0.2,1,5,5,1,0
66819,g209g5Vve6,2,N,8.4,4,4,2,3,0,0,1,0,0,0,0,0,1,0,0.2,1,5,5,1,5
66978,g209g5Vve6,2,G,12.2,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,2,5,5,0,8
67000,g209g5Vve6,2,N,12.4,5,5,1,4,0,0,0,0,0,0,0,0,1,0,0,3,5,4,0,0
68063,g209g5Vve6,2,N,21.2,5,5,3,4,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,4
68078,g209g5Vve6,2,G,5.4,2,0,3,3,2,0,1,0,4,0,0,0,0,2,0.2,1,3,5,0,0
68122,g209g5Vve6,2,G,5.2,1,0,0,4,2,0,1,0,4,0,0,0,1,3,0.2,3,3,5,0,12.5
68159,g209g5Vve6,2,G,6.2,3,1,1,2,1,0,1,0,1,0,0,2,0,1,0.2,1,3,5,1,6
68190,g209g5Vve6,2,G,5.6,0,0,0,3,1,0,2,0,3,0,0,0,0,3,0.4,3,4,5,1,38
68257,g209g5Vve6,2,G,7.8,1,1,0,2,1,0,1,0,1,0,0,2,1,1,0.2,1,4,5,0,1.75
68271,g209g5Vve6,2,G,10.6,2,0,2,3,0,0,0,0,3,0,0,2,1,1,0,1,4,5,0,11.33
68298,g209g5Vve6,2,G,4.6,2,2,1,2,0,0,1,0,1,0,0,1,0,0,0.2,2,5,3,1,12
68369,g209g5Vve6,2,G,10.6,3,4,3,3,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,15
68383,g209g5Vve6,2,N,43.4,3,0,2,4,2,0,1,0,4,0,0,0,2,1,0.2,2,3,5,0,5
68397,g209g5Vve6,2,G,23.8,3,2,2,4,1,0,0,0,2,0,0,1,1,1,0,1,4,3,0,53.25
68462,g209g5Vve6,2,N,24.8,4,2,4,3,1,0,0,0,3,0,0,0,2,1,0,0,4,5,0,5
68571,g209g5Vve6,2,N,7.2,4,3,1,4,2,0,0,0,0,0,0,2,1,0,0,2,3,4,0,0
68625,g209g5Vve6,2,G,10.2,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,12.67
68842,g209g5Vve6,2,G,10.6,3,1,2,4,1,0,0,0,3,0,0,1,1,1,0,2,3,5,0,4.67
68853,g209g5Vve6,2,G,92,4,0,4,3,0,0,2,0,1,1,1,2,3,0,0.4,0,5,5,2,4.5
69714,g209g5Vve6,2,N,8.6,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,0
69753,g209g5Vve6,2,G,7.4,4,3,2,4,0,0,1,0,0,0,0,1,1,0,0.2,2,5,5,1,6
69765,g209g5Vve6,2,N,12.8,2,3,1,3,0,0,1,0,1,0,0,0,1,0,0.2,2,5,3,0,2
69940,g209g5Vve6,2,G,12.4,4,3,3,3,0,0,1,0,1,0,0,0,2,0,0.2,1,5,5,1,8
70019,g209g5Vve6,2,G,28,4,2,-1,4,2,0,2,0,0,1,1,1,1,0,0.4,1,3,5,2,0
70051,g209g5Vve6,2,N,5,4,4,-1,3,0,0,0,0,0,0,0,1,0,0,0,1,5,3,0,0
70079,g209g5Vve6,2,G,161.4,1,1,0,3,1,0,2,0,1,0,0,1,4,1,0.4,1,4,5,1,0
70096,g209g5Vve6,2,G,16.4,3,3,0,3,0,0,1,0,1,0,0,0,2,0,0.2,1,5,2,1,106.5
70142,g209g5Vve6,2,N,29.6,0,0,0,3,1,0,1,0,4,0,0,0,3,3,0.2,1,4,5,0,124
70283,g209g5Vve6,2,G,6.2,4,2,2,2,1,0,0,0,2,0,0,1,0,1,0,2,4,3,0,2
70354,g209g5Vve6,2,N,113.8,3,2,17,3,0,0,0,0,3,0,0,0,5,2,0,0,5,5,0,150.5
70483,g209g5Vve6,2,N,10.6,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,13
71086,g209g5Vve6,2,G,8.6,4,4,4,2,0,0,0,0,0,0,0,1,1,0,0,0,5,3,0,8.6
71270,g209g5Vve6,2,G,6.4,3,3,1,4,1,0,0,0,2,0,0,0,1,1,0,1,5,5,0,20.5
71304,g209g5Vve6,2,G,11.8,3,3,5,3,0,0,1,0,0,0,0,1,1,0,0.2,0,5,5,1,6.5
71482,g209g5Vve6,2,N,6.6,4,3,2,4,0,0,2,0,0,0,0,0,1,0,0.4,3,4,5,2,3
71525,g209g5Vve6,2,N,7.8,5,5,4,3,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,35
74742,iyLqACAFyl,1,G,22.2,1,0,0,4,2,0,1,0,4,0,0,0,2,3,0.2,1,3,5,0,0
74951,iyLqACAFyl,1,N,24.6,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,11.67
75050,iyLqACAFyl,1,G,16.4,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,40
75219,iyLqACAFyl,1,N,28.8,5,4,1,3,0,0,0,0,0,0,0,1,2,0,0,2,5,5,0,2
75282,iyLqACAFyl,1,N,26.8,4,4,2,3,0,0,0,0,0,0,0,1,3,0,0,2,5,5,0,30.5
77916,iyLqACAFyl,1,N,26.4,3,3,18,2,0,0,0,0,2,0,0,0,5,1,0,0,5,5,0,0
77949,iyLqACAFyl,1,N,9.8,5,5,6,3,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,3
78060,iyLqACAFyl,1,N,12.2,4,5,0,3,1,0,0,0,0,0,0,0,2,0,0,1,4,5,0,0
78206,iyLqACAFyl,1,N,38.8,4,4,4,3,0,0,0,0,0,0,0,1,4,0,0,0,5,5,0,0
79713,l8kuAhlIWI,9,N,13.6,2,3,7,2,0,0,0,0,2,0,0,0,3,1,0,0,4,0,0,0
79724,l8kuAhlIWI,9,G,13.6,3,2,3,2,2,0,0,0,3,0,0,0,3,1,0,1,3,5,0,18
79856,l8kuAhlIWI,9,G,65.6,5,5,11,3,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,72
79878,l8kuAhlIWI,9,G,47.2,5,3,4,3,1,0,0,0,0,0,0,2,4,0,0,0,4,5,0,127
80148,l8kuAhlIWI,9,G,25.6,2,3,0,3,1,0,1,0,1,0,0,0,4,0,0.2,1,4,5,0,26.5
80267,l8kuAhlIWI,9,G,11.8,3,2,9,3,1,0,0,0,1,0,0,2,1,1,0,0,4,0,0,0
80319,l8kuAhlIWI,9,G,89.2,3,3,6,4,0,0,1,0,0,0,0,1,3,0,0.2,0,5,5,1,0
80343,l8kuAhlIWI,9,N,17.4,4,4,-1,3,1,0,0,0,0,0,0,1,3,0,0,0,4,4,0,78
80355,l8kuAhlIWI,9,N,25.6,2,4,0,3,1,0,0,0,1,0,0,0,3,0,0,2,5,5,0,11
80405,l8kuAhlIWI,9,G,15.6,4,4,-1,3,0,0,0,0,0,0,0,1,3,0,0,0,5,5,0,0
80569,l8kuAhlIWI,9,N,172.2,4,3,4,4,1,0,0,0,0,0,0,2,4,0,0,0,4,5,0,0
80687,l8kuAhlIWI,9,G,24,2,2,-1,3,1,0,0,0,0,0,0,3,3,0,0,0,4,5,0,0
80839,l8kuAhlIWI,9,G,17.8,3,5,0,2,2,0,0,0,0,0,0,0,3,0,0,2,5,5,0,54
81077,l8kuAhlIWI,9,G,9.4,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,19
81103,l8kuAhlIWI,9,G,27.8,4,4,5,2,0,0,1,0,0,0,0,0,3,0,0.2,0,5,5,1,0
81147,l8kuAhlIWI,9,G,56.4,1,0,0,3,1,0,1,0,3,0,0,1,4,3,0.2,1,4,5,0,0
82252,QER9PsCgBT,3,N,3.6,4,2,2,3,2,0,0,0,1,0,0,2,0,0,0,3,3,5,0,0
82506,QER9PsCgBT,3,G,22.2,4,3,0,3,2,0,0,0,2,0,0,0,2,1,0,2,4,5,0,0
82519,QER9PsCgBT,3,N,3,1,1,0,3,2,0,1,0,3,0,0,0,0,3,0.2,3,4,5,0,31.5
82555,QER9PsCgBT,3,G,14.4,4,3,6,3,0,0,1,0,0,0,0,1,2,0,0.2,0,5,5,1,0
84946,QER9PsCgBT,3,N,3.8,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0
84968,QER9PsCgBT,3,N,4.4,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,4
85101,QER9PsCgBT,3,G,3.4,4,4,1,3,0,0,0,0,0,0,0,1,0,0,0,3,5,5,0,0
85123,QER9PsCgBT,3,N,7,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
88179,QER9PsCgBT,3,N,3,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0
88899,Ugr5eIIEf0,4,G,10.6,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0
88973,Ugr5eIIEf0,4,N,10.4,4,4,3,4,0,0,1,0,0,0,0,0,1,0,0.2,1,5,5,1,29
89007,Ugr5eIIEf0,4,N,9,5,5,3,4,0,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0
89150,Ugr5eIIEf0,4,G,6.8,5,3,3,3,2,0,0,0,0,0,0,2,0,0,0,1,3,5,0,0
89186,Ugr5eIIEf0,4,G,6.4,2,1,2,3,0,0,0,0,3,0,0,1,0,1,0,1,4,5,0,18
89372,Ugr5eIIEf0,4,N,9,1,1,0,3,2,0,1,0,2,0,0,1,2,1,0.2,2,3,5,0,0
89453,Ugr5eIIEf0,4,G,5.6,3,2,4,3,0,0,1,0,1,0,0,1,0,0,0.2,0,5,3,1,0
89522,Ugr5eIIEf0,4,G,34.4,0,0,0,3,3,1,2,0,3,0,0,0,2,3,0.4,2,2,5,1,28
90321,Ugr5eIIEf0,4,N,11.8,3,3,0,4,0,0,2,0,0,0,0,0,1,0,0.4,1,5,4,2,0
90491,Ugr5eIIEf0,4,G,11.2,5,1,4,4,0,0,2,0,1,0,0,1,1,0,0.4,0,5,4,2,19.5
90504,Ugr5eIIEf0,4,G,11.6,4,0,0,4,2,0,2,0,2,0,0,1,1,0,0.4,1,3,5,1,17.5
90528,Ugr5eIIEf0,4,N,14.8,5,2,5,2,1,0,1,0,0,0,0,2,3,0,0.2,0,4,4,1,17
90550,Ugr5eIIEf0,4,N,46.2,3,1,5,4,0,0,0,0,2,0,0,2,3,0,0,0,5,5,0,16.5
90611,Ugr5eIIEf0,4,G,7.8,4,4,4,3,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,54
90690,Ugr5eIIEf0,4,G,14.6,1,2,0,3,1,0,3,1,0,1,1,0,2,0,0.6,2,4,5,3,0
94441,Ugr5eIIEf0,4,G,14.2,4,3,3,3,0,0,0,0,0,0,0,2,2,0,0,1,5,5,0,0
94541,Ugr5eIIEf0,4,N,16.8,1,1,5,3,1,0,2,0,2,0,0,0,2,1,0.4,0,4,5,1,7
94607,Ugr5eIIEf0,4,G,9,4,1,3,3,2,0,1,0,3,0,0,0,1,1,0.2,2,3,5,1,0
94784,Ugr5eIIEf0,4,N,5.4,3,2,2,3,0,0,3,1,0,0,0,0,0,0,0.6,3,3,3,3,16.67
99397,XqBaV46VbC,4,G,17.8,5,3,4,4,1,0,0,0,0,0,0,2,2,0,0,0,4,5,0,0
99483,XqBaV46VbC,4,G,25.2,4,5,4,4,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0
99598,XqBaV46VbC,4,G,30.6,4,4,4,3,0,0,1,0,0,0,0,0,2,0,0.2,0,5,5,1,0
99701,XqBaV46VbC,4,G,7.6,2,0,0,3,1,0,3,1,0,1,1,2,1,0,0.6,2,4,3,2,17
99749,XqBaV46VbC,4,N,21,5,5,5,4,0,0,0,0,0,0,0,0,2,0,0,0,4,5,0,0
99937,XqBaV46VbC,4,N,42,5,4,11,3,0,0,1,0,0,0,0,0,4,0,0.2,0,5,4,1,0
100176,XqBaV46VbC,4,N,8.2,5,5,5,4,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0
100817,XqBaV46VbC,4,N,23.2,3,4,3,4,0,0,0,0,1,0,0,0,2,0,0,1,5,5,0,4.5
100874,XqBaV46VbC,4,G,6.8,2,1,0,4,2,0,1,0,3,0,0,0,1,1,0.2,3,4,5,0,9.5
100928,XqBaV46VbC,4,G,14.4,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,1
100945,XqBaV46VbC,4,G,9.4,3,1,0,3,2,0,2,0,2,0,0,0,1,0,0.4,3,3,5,1,0
101195,XqBaV46VbC,4,N,18.2,4,4,4,4,0,0,1,0,0,0,0,0,1,0,0.2,0,5,5,1,6
101209,XqBaV46VbC,4,G,14.4,5,5,4,2,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0
103121,XqBaV46VbC,4,G,51.2,3,1,3,4,1,0,1,0,3,0,0,0,2,0,0.2,2,4,5,1,87
103181,XqBaV46VbC,4,G,80.8,4,4,3,4,0,0,0,0,0,0,0,1,2,0,0,1,5,4,0,7.5
103497,XqBaV46VbC,4,G,29.8,5,5,1,4,0,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0
103973,XqBaV46VbC,4,G,15.4,4,4,3,3,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,22
104005,XqBaV46VbC,4,N,6.8,1,1,3,3,0,0,2,0,1,0,0,1,0,1,0.4,2,5,5,2,0
104022,XqBaV46VbC,4,G,26.6,5,2,3,4,2,0,0,0,0,0,0,3,3,0,0,1,3,5,0,7.5
104034,XqBaV46VbC,4,N,8.8,2,2,3,4,0,0,2,0,0,0,0,1,1,0,0.4,1,4,5,2,37
104136,XqBaV46VbC,4,N,2.2,1,5,0,3,3,1,0,0,0,0,0,0,0,0,0,3,3,5,0,7.67
104479,XqBaV46VbC,4,G,17,3,3,6,3,0,0,2,0,0,0,0,0,3,0,0.4,0,4,5,2,0
104686,XqBaV46VbC,4,N,4.8,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,2,4,5,0,0
104750,XqBaV46VbC,4,N,9.2,5,4,5,3,0,0,1,0,0,0,0,0,2,0,0.2,0,5,3,1,82
104988,XqBaV46VbC,4,N,71.4,3,4,12,3,0,0,0,0,0,0,0,1,4,0,0,0,5,5,0,56
105124,XqBaV46VbC,4,G,9.4,4,3,2,3,1,0,1,0,0,0,0,1,1,0,0.2,1,4,5,1,42
105137,XqBaV46VbC,4,G,24.6,4,4,0,4,0,0,0,0,1,0,0,0,1,0,0,1,5,3,0,12
105967,y8BlGe62E7,9,G,7.6,2,0,0,2,1,0,1,0,4,0,0,0,1,2,0.2,2,4,5,0,13
106035,y8BlGe62E7,9,G,4.6,0,0,0,4,2,0,2,0,3,1,1,0,1,3,0.4,4,3,5,1,0.5
106241,y8BlGe62E7,9,G,1,1,1,0,2,1,0,1,0,3,0,0,0,0,2,0.2,5,4,5,0,2.75
106341,y8BlGe62E7,9,G,3.4,0,0,0,4,1,0,1,0,4,0,0,0,1,3,0.2,4,4,5,0,0
106397,y8BlGe62E7,9,G,9.6,2,2,0,4,0,0,1,0,2,0,0,0,1,1,0.2,4,5,5,1,13.5
106442,y8BlGe62E7,9,N,4.2,3,1,0,2,1,0,1,0,3,0,0,0,0,1,0.2,2,4,5,0,11
106729,y8BlGe62E7,9,N,4.8,0,1,0,3,1,0,1,0,3,0,0,0,0,2,0.2,3,4,5,0,22
108207,y8BlGe62E7,9,G,14.8,2,1,2,3,0,0,0,0,0,0,0,4,2,0,0,1,5,5,0,18
108301,y8BlGe62E7,9,G,15,2,2,0,3,1,0,1,0,2,0,0,0,3,1,0.2,2,4,5,0,12
108354,y8BlGe62E7,9,G,39.6,3,2,3,3,0,0,0,0,1,0,0,2,3,1,0,1,5,5,0,7
108474,y8BlGe62E7,9,G,27.2,4,3,5,4,1,0,1,0,0,0,0,1,1,0,0.2,0,4,5,1,0
108488,y8BlGe62E7,9,N,5.6,2,3,0,4,0,0,1,0,1,0,0,0,1,0,0.2,2,5,2,0,9
108516,y8BlGe62E7,9,N,6.6,3,1,-1,2,3,1,1,0,2,0,0,1,0,0,0.2,1,2,5,0,17
108564,y8BlGe62E7,9,N,20.8,4,3,5,4,1,0,0,0,1,0,0,1,3,0,0,0,4,2,0,22
109165,y8BlGe62E7,9,N,59.2,4,3,2,4,1,0,1,0,1,0,0,0,3,0,0.2,1,4,5,0,24.5
109276,y8BlGe62E7,9,G,3.2,1,1,0,3,1,0,1,0,3,0,0,0,0,2,0.2,3,4,5,0,41
109629,y8BlGe62E7,9,N,5.8,4,1,1,2,1,0,2,0,2,0,0,0,0,0,0.4,2,3,4,1,14
109698,y8BlGe62E7,9,G,7.4,5,5,3,3,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0,9
109727,y8BlGe62E7,9,G,15,5,1,3,3,3,1,0,0,1,0,0,3,2,0,0,1,2,5,0,4
109822,y8BlGe62E7,9,N,11.2,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0,23
110569,y8BlGe62E7,9,G,7.4,1,2,0,2,0,0,1,0,1,0,0,1,0,1,0.2,1,5,5,1,0
110594,y8BlGe62E7,9,N,25.2,3,2,4,3,1,0,1,0,1,0,0,1,2,0,0.2,0,4,5,0,0
110749,y8BlGe62E7,9,G,24.8,1,1,0,3,3,1,2,0,2,0,0,0,2,2,0.4,3,2,5,1,0
110920,y8BlGe62E7,9,G,14,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,10
111267,y8BlGe62E7,9,G,14.6,2,2,7,3,0,0,1,0,2,0,0,0,2,0,0.2,0,5,1,0,5
111321,y8BlGe62E7,9,N,18.8,3,2,3,4,0,0,2,0,0,0,0,1,2,0,0.4,1,5,2,2,0
112267,yDO9pl8GC0,3,G,3.8,4,4,2,3,0,0,0,0,1,0,0,0,0,0,0,3,5,5,0,0
112412,yDO9pl8GC0,3,N,4,4,3,2,2,1,0,0,0,2,0,0,0,0,1,0,2,3,5,0,0
112425,yDO9pl8GC0,3,G,14.4,4,4,1,3,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,5.5
112491,yDO9pl8GC0,3,N,3.4,4,5,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,5,0,21.25
113688,yDO9pl8GC0,3,G,1.6,0,0,0,2,1,0,2,0,3,0,0,0,0,3,0.4,5,4,5,1,10
113713,yDO9pl8GC0,3,G,2.6,0,0,0,2,1,0,1,0,4,0,0,0,0,4,0.2,3,4,5,0,3.25
113868,yDO9pl8GC0,3,G,16,5,5,3,4,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0,7
113896,yDO9pl8GC0,3,G,8.6,3,3,3,2,0,0,0,0,2,0,0,0,1,1,0,1,5,5,0,0
113947,yDO9pl8GC0,3,G,46.8,1,1,0,4,2,0,1,0,2,0,0,1,2,1,0.2,2,3,5,0,0
114117,yDO9pl8GC0,3,N,11.4,4,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,155
114202,yDO9pl8GC0,3,N,5.8,1,1,0,3,1,0,1,0,3,0,0,0,1,1,0.2,2,4,5,0,8
114303,yDO9pl8GC0,3,N,10.4,1,1,1,3,2,0,0,0,4,0,0,0,2,2,0,2,3,5,0,6
114338,yDO9pl8GC0,3,N,7.2,0,0,0,4,2,0,1,0,4,0,0,0,1,3,0.2,2,3,5,0,0
114844,yDO9pl8GC0,3,N,18.6,4,3,5,3,0,0,1,0,1,0,0,0,2,0,0.2,0,5,3,1,6
115228,yDO9pl8GC0,3,N,3.8,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,39
115243,yDO9pl8GC0,3,G,3.4,1,1,2,3,3,1,2,0,2,0,0,0,0,1,0.4,3,2,5,1,0
115270,yDO9pl8GC0,3,N,9.2,4,4,-1,4,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,0
115317,yDO9pl8GC0,3,G,11.6,4,3,3,3,0,0,0,0,0,0,0,2,1,0,0,1,5,5,0,78
115328,yDO9pl8GC0,3,G,10.4,0,0,0,2,2,0,3,1,2,1,1,0,1,2,0.6,1,3,5,2,7
115403,yDO9pl8GC0,3,N,6.4,4,5,0,3,1,0,0,0,0,0,0,0,0,0,0,2,5,5,0,125
115905,yDO9pl8GC0,3,G,4.4,2,1,0,2,1,0,1,0,3,0,0,0,0,2,0.2,2,4,5,0,0
116045,yDO9pl8GC0,3,N,6,2,0,2,3,0,0,2,0,3,1,1,0,0,2,0.4,2,4,5,2,5
116322,yDO9pl8GC0,3,G,10.8,4,3,3,3,0,0,0,0,1,0,0,1,1,0,0,2,5,3,0,107
116366,yDO9pl8GC0,3,G,32.2,4,5,0,4,0,0,0,0,0,0,0,0,2,0,0,1,5,4,0,20
117515,yDO9pl8GC0,3,G,16,2,1,0,3,1,0,2,0,1,0,0,1,2,1,0.4,1,4,5,1,10
117528,yDO9pl8GC0,3,N,19.2,5,5,7,4,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,8.5
117543,yDO9pl8GC0,3,N,14.2,3,5,0,4,2,0,0,0,0,0,0,0,1,0,0,2,5,5,0,0
117566,yDO9pl8GC0,3,G,10.8,5,5,4,3,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0
117630,yDO9pl8GC0,3,N,12,5,5,8,4,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0
117719,yDO9pl8GC0,3,G,13,3,3,0,2,1,0,0,0,2,0,0,0,3,1,0,1,5,5,0,27
117731,yDO9pl8GC0,3,G,5,0,0,0,4,3,1,2,0,3,0,0,0,1,3,0.4,4,4,5,1,20
117754,yDO9pl8GC0,3,G,15.4,5,4,2,4,0,0,0,0,1,0,0,0,1,0,0,1,5,5,0,8.33
117803,yDO9pl8GC0,3,N,5.4,3,5,0,3,1,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0
117882,yDO9pl8GC0,3,G,8.8,4,5,0,2,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,22
117956,yDO9pl8GC0,3,N,15.8,5,5,6,3,0,0,0,0,0,0,0,0,2,0,0,0,5,4,0,0
119847,N0jSb6S70X1,9,G,6.4,2,1,2,3,0,0,2,0,1,1,1,1,0,1,0.4,2,5,5,2,0
119968,N0jSb6S70X1,9,N,9,4,3,1,3,0,0,0,0,2,0,0,0,1,1,0,1,5,5,0,0
120066,N0jSb6S70X1,9,N,10,4,5,0,4,0,0,0,0,0,0,0,0,1,0,0,3,5,3,0,41.33
120144,N0jSb6S70X1,9,N,6.8,2,1,1,2,1,0,1,0,2,0,0,1,1,1,0.2,2,4,5,0,7
120155,N0jSb6S70X1,9,N,5.4,4,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,8.67
120239,N0jSb6S70X1,9,G,10.8,2,1,4,2,1,0,0,0,4,0,0,0,2,3,0,0,4,5,0,5.33
120457,N0jSb6S70X1,9,N,7.6,4,5,1,4,0,0,0,0,0,0,0,0,1,0,0,2,5,4,0,38
120838,N0jSb6S70X1,9,G,6.4,2,1,-1,3,0,0,0,0,1,0,0,3,0,1,0,0,5,5,0,0
120913,N0jSb6S70X1,9,G,11.2,1,1,8,2,0,0,0,0,0,0,0,4,1,0,0,0,5,5,0,30
121013,N0jSb6S70X1,9,N,35.8,2,2,4,3,1,0,2,0,1,0,0,0,2,0,0.4,0,4,5,1,13.33
121100,N0jSb6S70X1,9,G,94.8,3,2,2,3,0,0,0,0,1,0,0,2,2,0,0,2,5,5,0,1.25
121125,N0jSb6S70X1,9,G,4,3,4,0,2,0,0,1,0,0,0,0,0,0,0,0.2,2,5,4,1,5.6
121276,N0jSb6S70X1,9,G,3.8,1,2,0,2,1,0,1,0,1,0,0,1,0,1,0.2,2,4,5,0,0
121465,N0jSb6S70X1,9,G,8.6,0,1,0,3,1,0,1,0,3,0,0,0,1,2,0.2,2,4,5,0,0
121596,N0jSb6S70X1,9,N,7.8,4,4,3,2,0,0,0,0,0,0,0,1,0,0,0,2,5,5,0,9
121613,N0jSb6S70X1,9,N,8.8,5,2,3,4,0,0,0,0,2,0,0,1,1,0,0,1,5,5,0,3
121697,N0jSb6S70X1,9,N,3.2,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,3,4,5,0,6
121711,N0jSb6S70X1,9,N,8.4,3,2,2,3,0,0,0,0,2,0,0,1,1,1,0,1,5,3,0,0
122199,N0jSb6S70X1,9,G,4.8,3,3,3,3,0,0,0,0,2,0,0,0,0,0,0,1,5,5,0,10
122271,N0jSb6S70X1,9,G,8.4,3,3,2,4,1,0,1,0,1,0,0,0,1,0,0.2,2,4,5,0,0
122386,N0jSb6S70X1,9,G,11.8,2,3,5,3,0,0,1,0,1,0,0,0,1,0,0.2,0,5,5,1,4
122398,N0jSb6S70X1,9,N,5.2,4,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,5
122431,N0jSb6S70X1,9,G,15,1,1,0,3,1,0,1,0,3,0,0,0,3,2,0.2,1,4,5,0,2
122466,N0jSb6S70X1,9,N,29.2,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,8
